Date,Open,High,Low,Close,Adj Close,Volume
2021-04-15,37.259998,37.740002,37.259998,37.599998,36.008194,24945800
2021-04-16,37.869999,38.700001,37.810001,38.570000,36.937134,52829500
2021-04-19,38.599998,38.959999,38.330002,38.930000,37.281891,30905100
2021-04-20,38.750000,39.240002,38.750000,39.029999,37.377651,26459400
2021-04-21,39.139999,39.669998,39.130001,39.529999,37.856487,29365000
2021-04-22,39.480000,39.500000,38.520000,38.639999,37.004166,33373600
2021-04-23,38.630001,38.830002,38.430000,38.660000,37.023315,24375000
2021-04-26,38.730000,38.740002,38.490002,38.680000,37.042477,19773400
2021-04-27,38.509998,38.610001,38.349998,38.450001,36.822212,19061500
2021-04-28,38.540001,38.939999,38.520000,38.810001,37.166973,21963300
2021-04-29,38.990002,39.000000,38.310001,38.599998,36.965858,23569400
2021-04-30,38.500000,38.900002,38.490002,38.650002,37.013748,28413200
2021-05-03,39.040001,39.840000,38.959999,39.830002,38.143791,46638600
2021-05-04,40.000000,40.169998,39.430000,39.950001,38.258705,52802200
2021-05-05,40.180000,41.090000,38.930000,39.970001,38.277859,76627500
2021-05-06,38.480000,39.230000,37.959999,39.189999,37.900692,54944900
2021-05-07,39.049999,39.869999,39.049999,39.580002,38.277863,33807800
2021-05-10,39.830002,40.279999,39.779999,39.860001,38.548653,30831900
2021-05-11,39.680000,40.070000,39.230000,39.349998,38.055428,30568600
2021-05-12,39.439999,39.919998,39.310001,39.689999,38.384243,26208600
2021-05-13,39.500000,40.279999,39.500000,40.099998,38.780754,25415000
2021-05-14,40.240002,40.320000,39.919998,40.020000,38.703388,18041100
2021-05-17,40.070000,40.400002,40.009998,40.110001,38.790432,18095000
2021-05-18,40.180000,40.349998,39.830002,40.049999,38.732399,15805500
2021-05-19,39.900002,39.900002,39.430000,39.830002,38.519646,20209500
2021-05-20,39.730000,40.250000,39.720001,40.119999,38.800095,18621100
2021-05-21,40.209999,40.599998,39.910000,39.950001,38.635693,21144800
2021-05-24,40.080002,40.139999,39.779999,39.810001,38.500298,16922300
2021-05-25,39.820000,39.860001,39.240002,39.330002,38.036087,25916300
2021-05-26,39.290001,39.299999,38.779999,38.919998,37.639572,28036500
2021-05-27,38.970001,39.180000,38.599998,38.650002,37.378460,38471200
2021-05-28,38.750000,39.020000,38.680000,38.730000,37.455830,16154100
